block	count	size	element size	actual element size
scenario_cluster_background_sounds_block	1	4	4	4.000000
scenario_cluster_points_block	1	12	12	12.000000
scenario_cluster_data_block	1	52	80	52.000000
scenario_spawn_data_block	1	96	108	96.000000
scenario_structure_bsp_spherical_harmonic_lighting_block	1	16	28	16.000000
scenario_level_data_block	1	24	40	24.000000
interpolators	2	48	28	24.000000
screen effect reference	2	72	44	36.000000
simulation definition table element	53	212	4	4.000000
scenario	1	992	1476	992.000000
sky_light_block	1	52	72	52.000000
sky_atmospheric_fog_block	1	24	24	24.000000
sky_patchy_fog_block	1	80	88	80.000000
sky_radiosity_light_block	1	40	40	40.000000
sky_cubemap_block	1	12	20	12.000000
sky	1	172	220	172.000000
planar_fog	1	96	132	96.000000
patchy_fog	1	80	88	80.000000
decal	5	860	188	172.000000
mouse_cursor_bitmap_reference_block	4	32	16	8.000000
mouse_cursor_definition	1	12	16	12.000000
materials_block	1	180	316	180.000000
sound_class_ducker_block_definition	19	380	20	20.000000
sound_class_block	108	12960	128	120.000000
sound_classes	2	16	12	8.000000
multiplayer_color_block	9	108	12	12.000000
multiplayer_universal_block	1	32	60	32.000000
multiplayer_globals	1	16	24	16.000000
sound_effect_template	5	140	40	28.000000
sound_effect_component_block	9	144	24	16.000000
platform_sound_filter_block	5	360	72	72.000000
platform_sound_pitch_lfo_block	2	96	48	48.000000
platform_sound_filter_lfo_block	1	64	64	64.000000
sound_effect_playback_block	14	560	72	40.000000
platform_sound_playback_block	19	1064	76	56.000000
sound_effect_collection	1	8	12	8.000000
sound_gestalt_codec_block	5	16	3	3.200000
sound_gestalt_playback_block	13	728	56	56.000000
sound_gestalt_scale_block	1	20	20	20.000000
sound_gestalt_import_names_block	80	320	4	4.000000
sound_gestalt_pitch_range_parameters_block	1	12	10	12.000000
sound_gestalt_permutation_language_data_block	801	6408	8	8.000000
sound_gestalt_permutations_block	89	1424	20	16.000000
sound_gestalt_pitch_ranges_block	49	588	12	12.000000
