block	count	size	element size	actual element size
lists_block	40	4160	56	104.000000
list_shapes_block	163	2608	8	16.000000
mopps_block	10	400	20	40.000000
ragdoll_constraints_block	55	8140	148	148.000000
regions_block	245	2940	16	12.000000
permutations_block	262	3144	16	12.000000
rigid_body_indices_block	371	1204	2	3.245283
nodes_block	835	10020	12	12.000000
limited_hinge_constraints_block	51	6732	132	132.000000
physics_model_constraint_edge_constraint_block	106	1272	12	12.000000
physics_model_node_constraint_edge_block	135	3240	28	24.000000
phantom_types_block	12	1248	104	104.000000
phantoms_block	19	1216	32	64.000000
physics_model	214	58208	396	272.000000
materials_block	234	2808	12	12.000000
color_block	24	1152	48	48.000000
color_table	3	24	12	8.000000
multilingual_unicode_string_list	70	3640	68	52.000000
contrail_point_states_block	84	5376	72	64.000000
contrail	35	8400	260	240.000000
effect_locations_block	317	1268	4	4.000000
effect_accelerations_block	55	1100	20	20.000000
effect_part_block	632	35392	64	56.000000
effect_event_block	1008	56448	72	56.000000
effect	748	35904	64	48.000000
particle	210	39480	248	188.000000
particle_controller_parameters	244	4880	24	20.000000
particle_controller	89	1780	24	20.000000
particle_physics	71	1420	32	20.000000
old_materials_block	33	1188	44	36.000000
player_information_block	1	284	372	284.000000
player_representation_block	4	752	212	188.000000
falling_damage_block	1	104	152	104.000000
havok_cleanup_resources_block	1	8	16	8.000000
collision_damage_block	1	72	80	72.000000
vertex_shader_reference_block	33	264	16	8.000000
rasterizer_data_block	1	264	428	264.000000
interface_tag_references	1	152	304	152.000000
grenades_block	2	88	68	44.000000
custom_references_block	8	64	16	8.000000
difficulty_block	1	644	644	644.000000
look_function_block	6	24	4	4.000000
player_control_block	1	128	132	128.000000
camera_block	1	20	28	20.000000
sound_block	2	16	16	8.000000
armor_modifier_block	714	5712	8	8.000000
damage_group_block	21	252	16	12.000000
game_globals_damage_block	1	8	12	8.000000
ai_globals_gravemind_block	1	12	12	12.000000
ai_globals_block	1	360	372	360.000000
multiplayer_color_block	18	216	12	12.000000
globals	1	644	760	644.000000
sound_promotion_rule_block	41	656	16	16.000000
sound_promotion_runtime_timer_block	41	164	4	4.000000
looping_sound_detail_block	37	1924	60	52.000000
looping_sound_track_block	247	21736	144	88.000000
sound_looping	233	12116	76	52.000000
sound_globals_block	1	44	84	44.000000
sound_permutation_chunk_block	22569	361104	16	16.000000
sound_gestalt_reflections_block	299	4784	24	16.000000
sound_dialogue_constants	1	40	40	40.000000
sound_mix	1	88	88	88.000000
camera_track_control_point_block	251	7028	28	28.000000
camera_track	19	228	16	12.000000
point_physics	6	384	64	64.000000
structure_lightmap_palette_color_block	125	128000	1024	1024.000000
structure_lightmap_lighting_environment_block	3	660	220	220.000000
lightmap_geometry_render_info_block	1470	5880	4	4.000000
lightmap_vertex_buffer_bucket_block	113	6328	68	56.000000
lightmap_instance_bucket_section_offset_block	1483	5748	2	3.875927
lightmap_instance_bucket_reference_block	1393	16716	16	12.000000
