sound_effect_template                                                                                       tag     string    padding  tag splat     bitmap      sound   vertices   geometry     shared  duplicate      total
                                                                             cloth totals for 1 tags       1436          0         24         24          0          0          0          0          0          0       1460

collision_model                                                                                             tag     string    padding  tag splat     bitmap      sound   vertices   geometry     shared  duplicate      total
                  scenarios\objects\solo\earthcity\concrete_chunks\concrete_chunk_a\concrete_chunk_a       4366          0        126         80          0          0          0          0          0          0       4492
                                      scenarios\objects\nature\trees\palmtrees\palmtree_a\palmtree_a       4942          0         98         68          0          0          0          0          0          0       5040
                                                        objects\vehicles\insertion_pod\insertion_pod       2524          0         68         68          0          0          0          0          0          0       2592
                    objects\vehicles\insertion_pod\insertion_pod_upper_door\insertion_pod_upper_door       1176          0         28         68          0          0          0          0          0          0       1204
                    objects\vehicles\insertion_pod\insertion_pod_lower_door\insertion_pod_lower_door       1096          0         28         68          0          0          0          0          0          0       1124
                                            scenarios\objects\vehicles\h_semi_trailer\h_semi_trailer       3430          0         94        108          0          0          0          0          0          0       3524
                  scenarios\objects\solo\earthcity\concrete_chunks\concrete_chunk_h\concrete_chunk_h        784          0         24         68          0          0          0          0          0          0        808
                  scenarios\objects\solo\earthcity\concrete_chunks\concrete_chunk_e\concrete_chunk_e        780          0         20         68          0          0          0          0          0          0        800
                                             scenarios\objects\special\pathfinding\pathfinding_small        980          0         40         80          0          0          0          0          0          0       1020
                scenarios\objects\covenant\military\cov_guntower\cov_guntower_base\cov_guntower_base      22222          0        374         68          0          0          0          0          0          0      22596
                                                   scenarios\objects\covenant\military\scarab\scarab     359114          0       6338       1304          0          0          0          0          0          0     365452
                        scenarios\objects\covenant\military\scarab\scarab_upper_gun\scarab_upper_gun      14656          0        264         68          0          0          0          0          0          0      14920
scenarios\objects\covenant\military\scarab\scarab_upper_gun\garbage\turret_garbage_top\turret_garbage_top       1672          0         28         68          0          0          0          0          0          0       1700
                          scenarios\objects\covenant\military\scarab\scarab_rear_gun\scarab_rear_gun      14248          0        264         68          0          0          0          0          0          0      14512
                                                  objects\vehicles\phantom\turrets\chin_gun\chin_gun       2082          0         50        112          0          0          0          0          0          0       2132
                                           objects\vehicles\phantom\turrets\chin_gun\garbage\gun\gun       1408          0         28         68          0          0          0          0          0          0       1436
                                  scenarios\objects\covenant\military\scarab\plasma_door\plasma_door        680          0         20         68          0          0          0          0          0          0        700
                                                     objects\weapons\rifle\sniper_rifle\sniper_rifle       5298          0        130         80          0          0          0          0          0          0       5428
                                                     objects\weapons\rifle\battle_rifle\battle_rifle       2330          0         74         80          0          0          0          0          0          0       2404
                                                    scenarios\objects\solo\earthcity\railing\railing       2564          0        128        184          0          0          0          0          0          0       2692
                  scenarios\objects\solo\earthcity\concrete_chunks\concrete_chunk_b\concrete_chunk_b        728          0         20         68          0          0          0          0          0          0        748
                  scenarios\objects\solo\earthcity\concrete_chunks\concrete_chunk_d\concrete_chunk_d       1102          0         22         68          0          0          0          0          0          0       1124
                  scenarios\objects\solo\earthcity\concrete_chunks\concrete_chunk_c\concrete_chunk_c        806          0         22         68          0          0          0          0          0          0        828
                  scenarios\objects\solo\earthcity\concrete_chunks\concrete_chunk_f\concrete_chunk_f        680          0         20         68          0          0          0          0          0          0        700
                                                            objects\vehicles\pelican\crashed\crashed      29240          0        612        416          0          0          0          0          0          0      29852
                       scenarios\objects\covenant\military\cov_recharge_station\cov_recharge_station      16022          0        250         68          0          0          0          0          0          0      16272
                               scenarios\objects\solo\earthcity\road_objects\vent_wall_a\vent_wall_a       2428          0         60         68          0          0          0          0          0          0       2488
                               scenarios\objects\solo\earthcity\road_objects\garage_door\garage_door       1720          0         48         68          0          0          0          0          0          0       1768
                                       objects\gear\human\industrial\crate_tech_semi\crate_tech_semi       7980          0        172         68          0          0          0          0          0          0       8152
                                           objects\characters\marine\helmet_standard\helmet_standard        992          0         24         68          0          0          0          0          0          0       1016
                                         scenarios\objects\special\cooke_cutter_1x1\cooke_cutter_1x1        680          0         20         68          0          0          0          0          0          0        700
                          scenarios\objects\solo\earthcity\signage\sign_vert_facade\sign_vert_facade        928          0         44         80          0          0          0          0          0          0        972
                                             scenarios\objects\human\urban\loud_speaker\loud_speaker       1380          0         56         80          0          0          0          0          0          0       1436
                       scenarios\objects\solo\earthcity\road_objects\junction_box_lg\junction_box_lg      14086          0        262        108          0          0          0          0          0          0      14348
scenarios\objects\solo\earthcity\road_objects\garbage\junction_box_lg_garbage1\junction_box_lg_garbage1       1808          0         28         68          0          0          0          0          0          0       1836
scenarios\objects\solo\earthcity\road_objects\garbage\junction_box_lg_garbage2\junction_box_lg_garbage2       1064          0         20         68          0          0          0          0          0          0       1084
                                           scenarios\objects\special\pathfinding\pathfinding_vehicle        980          0         40         80          0          0          0          0          0          0       1020
                                scenarios\objects\covenant\military\cov_watchtower\base_cap\base_cap       5680          0        124         80          0          0          0          0          0          0       5804
                                                        dw3\ok\injured_shaking_marine\shaking_marine      13328          0        436        604          0          0          0          0          0          0      13764
                                                  dw3\ok\marine_stretcher-test\marine_stretcher-test      13328          0        436        604          0          0          0          0          0          0      13764
                                                                    dw3\ok\medic_marine\medic_test_2      13348          0        436        604          0          0          0          0          0          0      13784
                                               objects\scenery\new_scenery\health_packs\health_packs       5978          0        138        108          0          0          0          0          0          0       6116
                                                 dw3\scenarios\objects\flood\flood_crust\flood_crust      29872          0        400         68          0          0          0          0          0          0      30272
                                                                    objects\characters\marine\marine      13348          0        436        604          0          0          0          0          0          0      13784
                                                                      objects\characters\elite\elite      12828          0        452        656          0          0          0          0          0          0      13280
                                                 objects\weapons\rifle\smg\garbage\magazine\magazine        660          0         20         68          0          0          0          0          0          0        680
                                                          objects\characters\masterchief\masterchief      15026          0        382        584          0          0          0          0          0          0      15408
                                                                  objects\characters\miranda\miranda      12822          0        434        560          0          0          0          0          0          0      13256
                                                                      objects\characters\grunt\grunt       9242          0        266        456          0          0          0          0          0          0       9508
                                                                    objects\characters\jackal\jackal      38632          0        780        840          0          0          0          0          0          0      39412
                                                         objects\characters\custom\engineer\engineer      31644          0        704        860          0          0          0          0          0          0      32348
                                                             objects\characters\custom\drinol\drinol      12734          0        366        540          0          0          0          0          0          0      13100
                                                objects\characters\flood_juggernaut\flood_juggernaut      15952          0        504        744          0          0          0          0          0          0      16456
                                                  objects\characters\flood_infection\flood_infection        890          0         66         68          0          0          0          0          0          0        956
                                    blackandfan\objects\characters\floodcombat_odst\floodcombat_odst      19436          0        564        872          0          0          0          0          0          0      20000
                              objects\characters\floodcombat_human\garbage\vest_garbage\vest_garbage       1606          0         30         68          0          0          0          0          0          0       1636
                              objects\characters\floodcombat_human\garbage\belt_garbage\belt_garbage       1800          0         36         68          0          0          0          0          0          0       1836
           blackandfan\objects\characters\floodcombat_odst\garbage\left_arm_garbage\left_arm_garbage       2972          0         68         68          0          0          0          0          0          0       3040
         blackandfan\objects\characters\floodcombat_odst\garbage\right_arm_garbage\right_arm_garbage       1080          0         28         68          0          0          0          0          0          0       1108
                   blackandfan\objects\characters\floodcombat_odst\garbage\head_garbage\head_garbage       1220          0         24         68          0          0          0          0          0          0       1244
                                              objects\characters\floodcombat_elite\floodcombat_elite      16386          0        522        896          0          0          0          0          0          0      16908
                                  objects\characters\floodcombat_elite\garbage\back_shell\back_shell       1248          0         24         68          0          0          0          0          0          0       1272
                    objects\characters\floodcombat_elite\garbage\right_torso_armor\right_torso_armor       3748          0         52         68          0          0          0          0          0          0       3800
                                      objects\characters\floodcombat_elite\garbage\left_arm\left_arm       2008          0         32         68          0          0          0          0          0          0       2040
                      objects\characters\floodcombat_elite\garbage\left_torso_armor\left_torso_armor       2942          0         46         68          0          0          0          0          0          0       2988
                                    objects\characters\floodcombat_elite\garbage\right_arm\right_arm       1696          0         32         68          0          0          0          0          0          0       1728
                                              objects\characters\floodcombat_elite\garbage\head\head       1828          0         32         68          0          0          0          0          0          0       1860
                                objects\characters\floodcombat_elite\garbage\thigh_armor\thigh_armor       1184          0         24         68          0          0          0          0          0          0       1208
                    objects\characters\floodcombat_elite\garbage\thigh_armor_brace\thigh_armor_brace       1154          0         22         68          0          0          0          0          0          0       1176
                              objects\characters\floodcombat_elite\garbage\shoulder_pad\shoulder_pad       1340          0         24         68          0          0          0          0          0          0       1364
                                  blackandfan\objects\characters\floodcombat_brute\floodcombat_brute      48624          0        948       1128          0          0          0          0          0          0      49572
          blackandfan\objects\characters\floodcombat_brute\garbage\left_arm_garbage\left_arm_garbage       3260          0         68         68          0          0          0          0          0          0       3328
        blackandfan\objects\characters\floodcombat_brute\garbage\right_arm_garbage\right_arm_garbage       1080          0         28         68          0          0          0          0          0          0       1108
                  blackandfan\objects\characters\floodcombat_brute\garbage\head_garbage\head_garbage       1220          0         24         68          0          0          0          0          0          0       1244
                                                        objects\characters\floodcarrier\floodcarrier      15050          0        366        508          0          0          0          0          0          0      15416
                                                   objects\weapons\melee\jackal_shield\jackal_shield       2714          0         54         68          0          0          0          0          0          0       2768
                                                                    objects\characters\hunter\hunter      36042          0        682        688          0          0          0          0          0          0      36724
                                                                    objects\vehicles\warthog\warthog      99140          0       2256       2772          0          0          0          0          0          0     101396
                                                          objects\vehicles\warthog\garbage\tire\tire       1324          0         40         68          0          0          0          0          0          0       1364
                                                objects\vehicles\warthog\garbage\sailpanel\sailpanel        732          0         16         68          0          0          0          0          0          0        748
                                                        objects\vehicles\warthog\garbage\winch\winch       1344          0         40         68          0          0          0          0          0          0       1384
                                                      objects\vehicles\warthog\garbage\hubcap\hubcap       1324          0         40         68          0          0          0          0          0          0       1364
                                                objects\vehicles\warthog\garbage\lf_fender\lf_fender        992          0         24         68          0          0          0          0          0          0       1016
                                                objects\vehicles\warthog\garbage\rf_fender\rf_fender        992          0         24         68          0          0          0          0          0          0       1016
                                                objects\vehicles\warthog\garbage\lb_fender\lb_fender        732          0         20         68          0          0          0          0          0          0        752
                                                objects\vehicles\warthog\garbage\rb_fender\rb_fender        732          0         20         68          0          0          0          0          0          0        752
                                                      objects\vehicles\warthog\garbage\bumper\bumper        680          0         20         68          0          0          0          0          0          0        700
                                                  objects\vehicles\warthog\turrets\chaingun\chaingun      12706          0        406        652          0          0          0          0          0          0      13112
                     objects\vehicles\warthog\turrets\chaingun\garbage\shield_garbage\shield_garbage       5204          0         92         68          0          0          0          0          0          0       5296
                                                        objects\vehicles\warthog\turrets\gauss\gauss       4592          0        132        100          0          0          0          0          0          0       4724
                                                                    objects\vehicles\pelican\pelican      25206          0        482        260          0          0          0          0          0          0      25688
                                      objects\vehicles\pelican\pelican_rocket_pod\pelican_rocket_pod       1702          0         42         68          0          0          0          0          0          0       1744
                                                                        objects\vehicles\ghost\ghost      54466          0        994       1200          0          0          0          0          0          0      55460
                                                            objects\vehicles\ghost\garbage\seat\seat       1596          0         32         68          0          0          0          0          0          0       1628
                                                objects\vehicles\ghost\garbage\hull_shell\hull_shell       1724          0         28         68          0          0          0          0          0          0       1752
                                            objects\vehicles\ghost\garbage\l_wing_shell\l_wing_shell       1250          0         26         68          0          0          0          0          0          0       1276
                                            objects\vehicles\ghost\garbage\r_wing_shell\r_wing_shell       1128          0         24         68          0          0          0          0          0          0       1152
                                                                        objects\vehicles\creep\creep      61190          0       1030        672          0          0          0          0          0          0      62220
                                                                    objects\vehicles\phantom\phantom      27314          0        454        252          0          0          0          0          0          0      27768
                                                            objects\vehicles\c_turret_ap\c_turret_ap      30462          0        570        280          0          0          0          0          0          0      31032
                                                        objects\vehicles\c_turret_ap\garbage\gun\gun       2624          0         40         68          0          0          0          0          0          0       2664
                                                      objects\vehicles\c_turret_ap\garbage\seat\seat       3046          0         46         68          0          0          0          0          0          0       3092
                                                  objects\vehicles\c_turret_ap\garbage\turret\turret       2272          0         36         68          0          0          0          0          0          0       2308
            scenarios\objects\covenant\military\cov_guntower\cov_guntower_turret\cov_guntower_turret       6544          0        144        132          0          0          0          0          0          0       6688
                                                       objects\weapons\fixed\h_turret_mp\h_turret_mp       6074          0        162        196          0          0          0          0          0          0       6236
                                                 objects\weapons\fixed\h_turret_mp\garbage\gpmg\gpmg       1264          0         36         68          0          0          0          0          0          0       1300
                                                 objects\weapons\fixed\h_turret_mp\garbage\base\base       1652          0         40         68          0          0          0          0          0          0       1692
                                         objects\weapons\fixed\h_turret_mp\garbage\ammo_box\ammo_box        680          0         20         68          0          0          0          0          0          0        700
                                                   objects\weapons\fixed\h_turret_mp\garbage\leg\leg        696          0         16         68          0          0          0          0          0          0        712
                                                   objects\weapons\fixed\plasma_cannon\plasma_cannon       3984          0        128        240          0          0          0          0          0          0       4112
                                             objects\weapons\fixed\plasma_cannon\garbage\bipod\bipod        784          0         20         68          0          0          0          0          0          0        804
                                             objects\weapons\fixed\plasma_cannon\garbage\l_toe\l_toe        680          0         20         68          0          0          0          0          0          0        700
                                             objects\weapons\fixed\plasma_cannon\garbage\shell\shell        776          0         20         68          0          0          0          0          0          0        796
                                                                      objects\vehicles\wraith\wraith      98236          0       1628       1500          0          0          0          0          0          0      99864
                                               objects\vehicles\wraith\garbage\wing_boost\wing_boost        832          0         20         68          0          0          0          0          0          0        852
                                                       objects\vehicles\wraith\garbage\rudder\rudder       1130          0         26         68          0          0          0          0          0          0       1156
                                                   objects\vehicles\wraith\turrets\anti_air\anti_air      27536          0        652        496          0          0          0          0          0          0      28188
                  objects\vehicles\wraith\styles\wraith_anti_air\garbage\anti_air_door\anti_air_door       3020          0         44         68          0          0          0          0          0          0       3064
                objects\vehicles\wraith\styles\wraith_anti_air\garbage\anti_air_hatch\anti_air_hatch       3410          0         50         68          0          0          0          0          0          0       3460
          objects\vehicles\wraith\styles\wraith_anti_air\garbage\anti_air_gun_left\anti_air_gun_left       1452          0         32         68          0          0          0          0          0          0       1484
        objects\vehicles\wraith\styles\wraith_anti_air\garbage\anti_air_gun_right\anti_air_gun_right        976          0         28         68          0          0          0          0          0          0       1004
                                                    digsite\objects\vehicles\h_turret_gl\h_turret_gl      14878          0        378        204          0          0          0          0          0          0      15256
                                              digsite\objects\vehicles\warthog\turrets\rocket\rocket      11896          0        380        356          0          0          0          0          0          0      12276
                                                          digsite\objects\vehicles\mongoose\mongoose      36832          0        740        364          0          0          0          0          0          0      37572
                                                      objects\vehicles\warthog\turrets\rocket\rocket      12706          0        406        652          0          0          0          0          0          0      13112
                                                                    objects\vehicles\banshee\banshee      35600          0        696       1008          0          0          0          0          0          0      36296
                                            objects\vehicles\banshee\garbage\cab_garbage\cab_garbage       1670          0         30         68          0          0          0          0          0          0       1700
                                            objects\vehicles\banshee\garbage\pod_garbage\pod_garbage       1402          0         26         68          0          0          0          0          0          0       1428
                                      objects\vehicles\banshee\garbage\rudder_garbage\rudder_garbage       1074          0         22         68          0          0          0          0          0          0       1096
                           d_flog_flag_ports\reach\objects\vehicles\covenant\tuning_fork\tuning_fork      10948          0        188         68          0          0          0          0          0          0      11136
                         d_flog_flag_ports\reach\objects\vehicles\covenant\tuning_fork\turret\turret      19260          0        332        212          0          0          0          0          0          0      19592
                                                    objects\vehicles\phantom_prophet\phantom_prophet      68752          0       1296       1172          0          0          0          0          0          0      70048
                                                                    objects\vehicles\spectre\spectre      51510          0        866       1184          0          0          0          0          0          0      52376
                                          objects\vehicles\spectre\garbage\dash_garbage\dash_garbage       1468          0         32         68          0          0          0          0          0          0       1500
                                            objects\vehicles\spectre\garbage\cab_garbage\cab_garbage       1028          0         24         68          0          0          0          0          0          0       1052
                                            objects\vehicles\spectre\garbage\bar_garbage\bar_garbage       1820          0         28         68          0          0          0          0          0          0       1848
                                  objects\vehicles\spectre\garbage\gun_base_garbage\gun_base_garbage       1412          0         28         68          0          0          0          0          0          0       1440
                                            objects\vehicles\spectre\garbage\pod_garbage\pod_garbage       1392          0         28         68          0          0          0          0          0          0       1420
                                          objects\vehicles\spectre\garbage\wing_garbage\wing_garbage        476          0         12         68          0          0          0          0          0          0        488
                                                      objects\vehicles\spectre\turrets\plasma\plasma      10532          0        204        252          0          0          0          0          0          0      10736
                                                                  objects\vehicles\scorpion\scorpion      49076          0        992       1172          0          0          0          0          0          0      50068
                                      objects\vehicles\scorpion\turrets\cannon\garbage\turret\turret       4280          0         92        112          0          0          0          0          0          0       4372
                                         objects\vehicles\scorpion\garbage\engine_panel\engine_panel       1210          0         30         68          0          0          0          0          0          0       1240
                                       objects\vehicles\scorpion\garbage\l_tread_cover\l_tread_cover       1862          0         30         68          0          0          0          0          0          0       1892
                                           objects\vehicles\scorpion\garbage\l_big_panel\l_big_panel       1352          0         28         68          0          0          0          0          0          0       1380
                                       objects\vehicles\scorpion\garbage\r_tread_cover\r_tread_cover       1122          0         22         68          0          0          0          0          0          0       1144
                                                     objects\vehicles\scorpion\turrets\cannon\cannon       8364          0        208        320          0          0          0          0          0          0       8572
                                        objects\vehicles\scorpion\turrets\cannon\garbage\panel\panel        784          0         20         68          0          0          0          0          0          0        804
                                                      objects\vehicles\gravity_throne\gravity_throne      14404          0        260        272          0          0          0          0          0          0      14664
                                                   objects\weapons\grenade\frag_grenade\frag_grenade        712          0         16         68          0          0          0          0          0          0        728
                                          objects\powerups\rocket_launcher_ammo\rocket_launcher_ammo        660          0         20         68          0          0          0          0          0          0        680
                                               objects\weapons\grenade\plasma_grenade\plasma_grenade        712          0         16         68          0          0          0          0          0          0        728
                                                  objects\weapons\pistol\plasma_pistol\plasma_pistol       3392          0         72         68          0          0          0          0          0          0       3464
                                                     objects\weapons\rifle\plasma_rifle\plasma_rifle       6100          0        112         68          0          0          0          0          0          0       6212
                                                                       objects\weapons\rifle\smg\smg       3896          0        104        100          0          0          0          0          0          0       4000
                                                                objects\weapons\pistol\magnum\magnum       1682          0         50         68          0          0          0          0          0          0       1732
                                        objects\weapons\support_high\rocket_launcher\rocket_launcher       6212          0        172        132          0          0          0          0          0          0       6384
                                                              objects\weapons\pistol\needler\needler       2856          0         76         68          0          0          0          0          0          0       2932
                                                         objects\weapons\rifle\beam_rifle\beam_rifle       1262          0         42         68          0          0          0          0          0          0       1304
                                                     objects\weapons\fixed\h_turret_mp\weapon\weapon       6476          0        132         68          0          0          0          0          0          0       6608
                                                   objects\weapons\fixed\plasma_cannon\weapon\weapon       1816          0         44         68          0          0          0          0          0          0       1860
                                                               objects\weapons\multiplayer\ball\ball       3444          0         72         68          0          0          0          0          0          0       3516
                                             objects\weapons\rifle\assault_rifle\halo1\assault_rifle       2076          0         52         68          0          0          0          0          0          0       2128
                                  objects\powerups\assault_rifle_ammo_fixed\assault_rifle_ammo_fixed        900          0         24         68          0          0          0          0          0          0        924
                               kashiiera\objects\weapons\support_low\flamethrower_ce\flamethrower_ce       6146          0        162         68          0          0          0          0          0          0       6308
                                     kashiiera\objects\equipment\flamethrower_ammo\flamethrower_ammo       7586          0        138         68          0          0          0          0          0          0       7724
                                      kashiiera\objects\weapons\support_high\fuel_rod_ce\fuel_rod_ce       8594          0        206         68          0          0          0          0          0          0       8800
                                                                            h1\weapons\pistol\pistol       1688          0         56         68          0          0          0          0          0          0       1744
                                                objects\weapons\support_high\flak_cannon\flak_cannon       7584          0        172        132          0          0          0          0          0          0       7756
                     digsite\objects\weapons\assault_rifle\assault_rifle_99_mac\assault_rifle_99_mac        680          0         24         68          0          0          0          0          0          0        704
                                    digsite\objects\weapons\chaingun\chaingun_99_mac\chaingun_99_mac       2586          0         58        100          0          0          0          0          0          0       2644
                                                           digsite\objects\weapons\smg\99_mac\99_mac       2872          0         92        100          0          0          0          0          0          0       2964
                                                    halo3\objects\weapons\pistol\excavator\excavator        804          0         20         68          0          0          0          0          0          0        824
                                                                aife\weapons\spike_rifle\spike_rifle       4762          0         90         68          0          0          0          0          0          0       4852
                                           objects\weapons\melee\gravity_hammer_h3\gravity_hammer_h3       1990          0         46         68          0          0          0          0          0          0       2036
                                                                     objects\weapons\rifle\gpmg\gpmg       2352          0         64        100          0          0          0          0          0          0       2416
                                                     objects\weapons\rifle\smg_silenced\smg_silenced       3712          0        104        100          0          0          0          0          0          0       3816
                                                   objects\weapons\support_low\brute_shot\brute_shot       4238          0         82         68          0          0          0          0          0          0       4320
                                            objects\weapons\zoephie\halo_reach\weapons\rifle\dmr\dmr       2014          0         50         68          0          0          0          0          0          0       2064
                                             objects\weapons\rifle\covenant_carbine\covenant_carbine       4904          0         84         68          0          0          0          0          0          0       4988
             objects\weapons\zoephie\halo_reach\weapons\support_high\plasma_launcher\plasma_launcher       3392          0         72         68          0          0          0          0          0          0       3464
                                 dragonsoul\objects\weapons\support_high\spartan_laser\spartan_laser       3572          0         96         68          0          0          0          0          0          0       3668
          scenarios\objects\covenant\military\cov_watchtower\cov_watchtower_base\cov_watchtower_base       4930          0         94         68          0          0          0          0          0          0       5024
            scenarios\objects\covenant\military\cov_watchtower\cov_watchtower_pod\cov_watchtower_pod      16622          0        238         68          0          0          0          0          0          0      16860
                                 scenarios\objects\solo\earthcity\oldmombasa\hunter_door\hunter_door       1856          0         60        144          0          0          0          0          0          0       1916
                       scenarios\objects\solo\earthcity\oldmombasa\hunter_door_left\hunter_door_left        740          0         20         68          0          0          0          0          0          0        760
                     scenarios\objects\solo\earthcity\oldmombasa\hunter_door_right\hunter_door_right        740          0         20         68          0          0          0          0          0          0        760
                           scenarios\objects\solo\earthcity\tunnel\tunnel_side_door\tunnel_side_door        730          0         22         68          0          0          0          0          0          0        752
                                                           objects\gear\human\military\pallet\pallet        680          0         20         68          0          0          0          0          0          0        700
                                 objects\gear\human\military\crate_packing_giant\crate_packing_giant        680          0         20         68          0          0          0          0          0          0        700
                                             objects\gear\human\military\crate_packing\crate_packing        680          0         20         68          0          0          0          0          0          0        700
                                                               objects\gear\human\military\case\case        680          0         20         68          0          0          0          0          0          0        700
                                                       objects\gear\human\military\blitzcan\blitzcan        680          0         20         68          0          0          0          0          0          0        700
                                                   objects\gear\human\military\drum_55gal\drum_55gal       1344          0         40         68          0          0          0          0          0          0       1384
                                             objects\gear\human\military\antennae_mast\antennae_mast       1936          0         56         68          0          0          0          0          0          0       1992
                                                      objects\gear\covenant\military\battery\battery       1218          0         38         68          0          0          0          0          0          0       1256
                        objects\gear\covenant\military\battery\battery_fragment01\battery_fragment01        728          0         20         68          0          0          0          0          0          0        748
                        objects\gear\covenant\military\battery\battery_fragment02\battery_fragment02        784          0         20         68          0          0          0          0          0          0        804
                        objects\gear\covenant\military\battery\battery_fragment03\battery_fragment03        784          0         20         68          0          0          0          0          0          0        804
                                              objects\gear\covenant\military\crate_space\crate_space        700          0         20         68          0          0          0          0          0          0        720
                                            scenarios\objects\solo\earthcity\soccer_ball\soccer_ball       5412          0         88         68          0          0          0          0          0          0       5500
