sound_effect_template                                                                                       tag     string    padding  tag splat     bitmap      sound   vertices   geometry     shared  duplicate      total
                                                                              ai\ai_dialogue_globals      43492          0       4836       2656          0          0          0          0          0          0      48328
                                                               ai_dialogue_globals totals for 1 tags      43492          0       4836       2656          0          0          0          0          0          0      48328

antenna                                                                                                     tag     string    padding  tag splat     bitmap      sound   vertices   geometry     shared  duplicate      total
                                                objects\vehicles\warthog\attachments\warthog_antenna        390          0        666         20          0          0          0          0          0          0       1056
                                                      objects\widgets\antenna\scorpion_short_antenna        240          0        432         20          0          0          0          0          0          0        672
                                                     objects\widgets\antenna\scorpion_medium_antenna        340          0        588         20          0          0          0          0          0          0        928
                                             objects\vehicles\new_vehicles\warthog_foolsgold\antenna        390          0        666         20          0          0          0          0          0          0       1056
                                                                           antenna totals for 4 tags       1360          0       2352         80          0          0          0          0          0          0       3712

biped                                                                                                       tag     string    padding  tag splat     bitmap      sound   vertices   geometry     shared  duplicate      total
                                                                    objects\characters\marine\marine       2117          0         55        240          0          0          0          0          0          0       2172
                                                                      objects\characters\elite\elite       3759          0         57        276          0          0          0          0          0          0       3816
                                                          objects\characters\masterchief\masterchief       2343          0         61        288          0          0          0          0          0          0       2404
                                                                  objects\characters\miranda\miranda       1637          0         55        208          0          0          0          0          0          0       1692
                                                                      objects\characters\grunt\grunt       1901          0         55        216          0          0          0          0          0          0       1956
                                                                    objects\characters\jackal\jackal       1905          0         55        236          0          0          0          0          0          0       1960
                                                         objects\characters\custom\engineer\engineer       1659          0         57        232          0          0          0          0          0          0       1716
                                                             objects\characters\custom\drinol\drinol       1557          0         59        224          0          0          0          0          0          0       1616
                                    objects\characters\flood_juggernaut_armed\flood_juggernaut_armed       1925          0         59        248          0          0          0          0          0          0       1984
                                    blackandfan\objects\characters\floodcombat_odst\floodcombat_odst       1765          0         59        240          0          0          0          0          0          0       1824
                                              objects\characters\floodcombat_grunt\floodcombat_grunt       2005          0         55        216          0          0          0          0          0          0       2060
                                          objects\characters\floodcombat_heretic\floodcombat_heretic       2117          0         63        268          0          0          0          0          0          0       2180
                                              objects\characters\floodcombat_elite\floodcombat_elite       1789          0         59        248          0          0          0          0          0          0       1848
                                  blackandfan\objects\characters\floodcombat_brute\floodcombat_brute       1997          0         59        256          0          0          0          0          0          0       2056
                                       dw3\objects\characters\floodcarrier_dw3\floodcarrier_shielded       1627          0         57        232          0          0          0          0          0          0       1684
                                                   dw3\objects\characters\hunter_dw3\hunter_shielded       2011          0         65        284          0          0          0          0          0          0       2076
                                                                 objects\characters\marine\h1_marine       3325          0         55        240          0          0          0          0          0          0       3380
                                                                    objects\characters\bugger\bugger       1547          0         57        216          0          0          0          0          0          0       1604
                                                                    objects\characters\hunter\hunter       1841          0         63        272          0          0          0          0          0          0       1904
                                              objects\characters\floodcombat_human\floodcombat_human       1709          0         59        240          0          0          0          0          0          0       1768
                                                dw3\objects\characters\floodcarrier_dw3\floodcarrier       1627          0         57        232          0          0          0          0          0          0       1684
                                      dw3\objects\characters\floodcombat_elite_dw3\floodcombat_elite       1789          0         59        248          0          0          0          0          0          0       1848
                                        dw3\objects\characters\flood_juggernaut_dw3\flood_juggernaut       1703          0         57        232          0          0          0          0          0          0       1760
                                                            dw3\objects\characters\hunter_dw3\hunter       1885          0         63        268          0          0          0          0          0          0       1948
                                                                            biped totals for 24 tags      47540          0       1400       5860          0          0          0          0          0          0      48940

bitmap                                                                                                      tag     string    padding  tag splat     bitmap      sound   vertices   geometry     shared  duplicate      total
                                              shaders\default_bitmaps\bitmaps\default_multiplicative        248          0          0         36          0          0          0          0         20          0        268
                                                    shaders\default_bitmaps\bitmaps\default_additive        248          0          0         36          0          0          0          0         23          0        271
                                            scenarios\skies\solo\earthcity\bitmaps\ec_sky_dome_color        248          0          0         36          0          0          0          0      15126          0      15374
                                           scenarios\skies\solo\earthcity\bitmaps\ec_sky_dome_color2        248          0          0         36      64977          0          0          0          0          0      65225
                                                 scenarios\skies\solo\earthcity\bitmaps\ec_sky_dome2        248          0          0         36     139888          0          0          0          0          0     140136
                                             scenarios\skies\solo\earthcity\bitmaps\clouds_low_mask2        248          0          0         36      67721          0          0          0          0          0      67969
                                                   scenarios\skies\solo\earthcity\bitmaps\ec_clouds2        248          0          0         36      41178          0          0          0          0          0      41426
                                                         shaders\default_bitmaps\bitmaps\alpha_black        248          0          0         36          0          0          0          0         16          0        264
                                           shaders\default_bitmaps\bitmaps\default_additive_cube_map        248          0          0         36          0          0          0          0         25          0        273
                                          scenarios\skies\solo\earthcity\bitmaps\ec_sky_tether_faded        248          0          0         36      82649          0          0          0          0          0      82897
                                       scenarios\skies\solo\earthcity\bitmaps\ec_sky_tether_gradient        248          0          0         36        605          0          0          0          0          0        853
                                                scenarios\skies\solo\earthcity\bitmaps\ec_sky_tether        248          0          0         36     125957          0          0          0          0          0     126205
                                                          effects\bitmaps\lens_flares\flares_generic       1564        196        112         88          0          0          0          0      41465          0      43337
                                         scenarios\skies\solo\earthcity\bitmaps\city_core_foreground        248          0          0         36      96837          0          0          0          0          0      97085
                                                scenarios\skies\solo\earthcity\bitmaps\ec_sky_bridge        248          0          0         36      37893          0          0          0          0          0      38141
                                              scenarios\skies\solo\earthcity\bitmaps\cloud_explosion        248          0          0         36          0          0          0          0       3120          0       3368
                                         scenarios\skies\solo\earthcity\bitmaps\cloud_explosion_mask        248          0          0         36          0          0          0          0       2746          0       2994
                                                scenarios\skies\solo\earthcity\bitmaps\ec_misty_mask        248          0          0         36       2088          0          0          0          0          0       2336
                                                    scenarios\skies\solo\earthcity\bitmaps\nm_clouds        248          0          0         36          0          0          0          0      51144          0      51392
                                                     scenarios\skies\solo\earthcity\bitmaps\skysmoke        248          0          0         36      20559          0          0          0          0          0      20807
                                                  scenarios\skies\solo\earthcity\bitmaps\ec_sky_dome        248          0          0         36     194775          0          0          0          0          0     195023
                                            scenarios\skies\solo\earthcity\bitmaps\ec_sky_land_color        248          0          0         36     124207          0          0          0          0          0     124455
                                                  scenarios\skies\solo\earthcity\bitmaps\ec_sky_land        248          0          0         36      46473          0          0          0          0          0      46721
                                              scenarios\skies\solo\earthcity\bitmaps\clouds_low_mask        248          0          0         36      77921          0          0          0          0          0      78169
                                                    scenarios\skies\solo\earthcity\bitmaps\ec_clouds        248          0          0         36      41120          0          0          0          0          0      41368
                                                  scenarios\skies\solo\earthcity\bitmaps\lightning_a        248          0          0         36       4500          0          0          0          0          0       4748
                                             scenarios\skies\solo\earthcity\bitmaps\lightning_a_mask        248          0          0         36       2510          0          0          0          0          0       2758
                                                  scenarios\skies\solo\earthcity\bitmaps\bridge_haze        248          0          0         36       1411          0          0          0          0          0       1659
