block	count	size	element size	actual element size
sound_gestalt_reflections_block	304	4864	24	16.000000
sound_dialogue_constants	1	40	40	40.000000
sound_mix	1	88	88	88.000000
camera_track_control_point_block	225	6300	28	28.000000
camera_track	17	204	16	12.000000
point_physics	6	384	64	64.000000
structure_bsp_cluster_block	1	176	216	176.000000
structure_collision_materials_block	1	20	36	20.000000
structure_bsp_detail_object_data_block	1	36	52	36.000000
structure_bsp_leaf_block	1	8	8	8.000000
structure_bsp_surface_reference_block	12	96	8	8.000000
structure_bsp_debug_info_block	1	88	100	88.000000
structure_bsp_cluster_debug_info_block	1	72	92	72.000000
structure_bsp_sky_owner_cluster_block	32	64	2	2.000000
structure_bsp_fake_lightprobes_block	2	184	92	92.000000
scenario_structure_bsp	1	572	792	572.000000
scenario_object_names_block	1	36	36	36.000000
scenario_players_block	1	52	52	52.000000
scenario_structure_bsp_reference_block	1	68	84	68.000000
syntax_datum_block	512	10240	20	20.000000
scenario_decal_palette_block	1	8	16	8.000000
scenario_decorator_set_palette_entry_block	7	56	16	8.000000
scenario_cluster_background_sounds_block	1	4	4	4.000000
scenario_cluster_points_block	1	12	12	12.000000
scenario_cluster_data_block	1	52	80	52.000000
scenario_spawn_data_block	1	96	108	96.000000
scenario_structure_bsp_spherical_harmonic_lighting_block	1	16	28	16.000000
scenario_level_data_block	1	24	40	24.000000
simulation definition table element	451	1804	4	4.000000
scenario	1	992	1476	992.000000
decal	55	9460	188	172.000000
sound_scenery	9	1836	272	204.000000
mouse_cursor_bitmap_reference_block	4	32	16	8.000000
mouse_cursor_definition	1	12	16	12.000000
material_effect_material_block	2216	53184	40	24.000000
material_effect_block_v2	1191	28584	36	24.000000
material_effects	72	576	12	8.000000
breakable_surface	2	64	52	32.000000
materials_block	183	32940	316	180.000000
sound_class_ducker_block_definition	19	380	20	20.000000
sound_class_block	108	12960	128	120.000000
sound_classes	2	16	12	8.000000
multiplayer_color_block	9	108	12	12.000000
multiplayer_universal_block	1	32	60	32.000000
vehicles_block	14	112	16	8.000000
weapons_block	20	160	16	8.000000
grenade_block	2	16	16	8.000000
powerup_block	2	16	16	8.000000
multiplayer_constants_block	1	352	384	352.000000
game_engine_status_response_block	23	644	36	28.000000
sounds_block	43	344	16	8.000000
multiplayer_runtime_block	1	1384	1640	1384.000000
multiplayer_globals	1	16	24	16.000000
sound_effect_template	5	140	40	28.000000
sound_effect_component_block	9	144	24	16.000000
platform_sound_filter_block	7	504	72	72.000000
platform_sound_pitch_lfo_block	2	96	48	48.000000
platform_sound_filter_lfo_block	1	64	64	64.000000
sound_effect_playback_block	14	560	72	40.000000
platform_sound_playback_block	19	1064	76	56.000000
sound_effect_collection	1	8	12	8.000000
sound_gestalt_codec_block	8	24	3	3.000000
sound_gestalt_playback_block	356	19936	56	56.000000
sound_gestalt_scale_block	68	1360	20	20.000000
sound_gestalt_import_names_block	5207	20828	4	4.000000
sound_gestalt_pitch_range_parameters_block	36	360	10	10.000000
sound_gestalt_permutation_language_data_block	71163	569304	8	8.000000
sound_gestalt_permutations_block	7907	126512	20	16.000000
sound_gestalt_pitch_ranges_block	2267	27204	12	12.000000
sound_gestalt_custom_playback_block	2	104	72	52.000000
sound_gestalt_remastered_sound_references_block	501	4008	16	8.000000
sound_gestalt_runtime_permutation_bit_vector_block	1478	1480	1	1.001353
sound_gestalt_promotions_block	16	448	36	28.000000
sound_gestalt_extra_info_block	51	16932	372	332.000000
sound_gestalt_language_chunks_block	9	72	12	8.000000
sound_cache_file_gestalt	1	120	180	120.000000
cache_file_sound	2204	61712	28	28.000000
compression info	168	9408	56	56.000000
material	509	16288	52	32.000000
material property	5	40	8	8.000000
block resources	10373	165968	16	16.000000
bsp3d_nodes_block	13489	107912	8	8.000000
planes_block	9015	144240	16	16.000000
leaves_block	10816	43264	4	4.000000
bsp2d_references_block	16854	67416	4	4.000000
bsp2d_nodes_block	1048	16768	16	16.000000
surfaces_block	9759	78072	8	8.000000
edges_block	16533	198396	12	12.000000
vertices_block	7828	125248	16	16.000000
global_collision_bsp_block	1	64	96	64.000000
structure_bsp_audibility_block	1	52	72	52.000000
runtime_levels_definition_block	1	8	12	8.000000
runtime_campaign_level_block	20	5280	264	264.000000
scenario_scenery_block	16	1472	96	92.000000
scenario_scenery_palette_block	14	560	48	40.000000
scenario_biped_block	2	168	84	84.000000
scenario_biped_palette_block	2	80	48	40.000000
scenario_vehicle_block	10	840	84	84.000000
scenario_vehicle_palette_block	10	400	48	40.000000
scenario_equipment_block	12	672	56	56.000000
scenario_equipment_palette_block	12	480	48	40.000000
scenario_weapon_block	20	1680	84	84.000000
scenario_weapon_palette_block	21	840	48	40.000000
scenario_sound_scenery_block	9	720	80	80.000000
scenario_sound_scenery_palette_block	9	360	48	40.000000
scenario_crate_block	26	1976	76	76.000000
scenario_crate_palette_block	26	1040	48	40.000000
particle_system_definition_block_new	1632	91392	68	56.000000
particle_system_emitter_definition_block	1343	247112	228	184.000000
byte_block	179772	179772	1	1.000000
predicted_resource_block	3862	30896	8	8.000000
instantaneous_damage_repsonse_block	259	20720	104	80.000000
damage_seat_info_block	55	1100	20	20.000000
damage_constraint_info_block	2	40	20	20.000000
global_damage_info_block	33	8184	320	248.000000
global_damage_section_block	103	5768	68	56.000000
global_damage_nodes_block	145	2320	16	16.000000
collision_bsp_physics_block	1	160	128	160.000000
game_engine_general_event_block	80	13440	244	168.000000
game_engine_flavor_event_block	14	2352	244	168.000000
game_engine_slayer_event_block	2	336	244	168.000000
game_engine_ctf_event_block	22	3696	244	168.000000
game_engine_assault_event_block	25	4200	244	168.000000
game_engine_oddball_event_block	3	504	244	168.000000
game_engine_king_event_block	8	1344	244	168.000000
game_engine_juggernaut_event_block	3	504	244	168.000000
game_engine_territories_event_block	11	1848	244	168.000000
platform_sound_effect_collection_block	8	160	28	20.000000
platform_sound_effect_template_collection_block	5	60	16	12.000000
platform_sound_effect_function_block	1	16	20	16.000000
platform_sound_effect_constant_block	24	96	4	4.000000
platform_sound_effect_override_descriptor_block	18	20	1	1.111111
platform_sound_effect_block	7	196	40	28.000000
platform_sound_effect_template_component_block	7	112	16	16.000000
platform_sound_effect_template_block	1	24	28	24.000000
structure_bsp_sound_cluster_block	2	40	28	20.000000
