sound_effect_template                                                                                    count  elements      size   padding
                                                                                   effect_part_block       219       435     22620      1740
                                                                          effect_accelerations_block        35        49       882        98
                                                                                             totals:      5511    139275    555650     14870

equipment                                                                                                count  elements      size   padding
                                                                            predicted_resource_block        12       104       832         0
                                                                                           equipment        12        12      3684       108
                                                                                             totals:        24       116      4516       108

material_effects                                                                                         count  elements      size   padding
                                                                      material_effect_material_block       204      2216     50968      2216
                                                                            material_effect_block_v2        72      1191     28584         0
                                                                                    material_effects        72        72       576         0
                                                                                             totals:       348      3479     80128      2216

garbage                                                                                                  count  elements      size   padding
                                                                            predicted_resource_block         1         5        40         0
                                                                                             garbage         1         1       291       177
                                                                                             totals:         2         6       331       177

chocolate_mountain                                                                                       count  elements      size   padding
                                                                                          byte_block         5       564       564         0
                                                                            lighting_variables_block         1         2       288         0
                                                                                  chocolate_mountain         1         1         8         0
                                                                                             totals:         7       567       860         0

model                                                                                                    count  elements      size   padding
                                                                                            material        87       207      2484      1656
                                                                             model_permutation_block        54       169      1014       338
                                                                                  model_region_block        67       153      2142       306
                                                                                    model_node_block       118       426     38340       852
                                                                             model_object_data_block       103       103      1854       206
                                                                                               model       145       145     35090      1450
                                                                                         permutation       156       157      2669      2355
                                                                                              region        66       271      4336      1084
                                                                                             variant        30        79      2528      1896
                                                                         global_damage_section_block        29       103      4944       824
                                                                           global_damage_nodes_block        11       145         0      2320
                                                                            global_damage_info_block        33        33      4752      3432
                                                                                  model_target_block        19        92      2576         0
                                                                           model_variant_state_block       104       403      9269       403
                                                                                              object         8        10       160         0
                                                                 instantaneous_damage_repsonse_block        95       259     20720         0
                                                                              damage_seat_info_block        17        55      1100         0
                                                                        damage_constraint_info_block         1         2        32         8
                                                                                             totals:      1143      2812    134010     17130

hud_globals                                                                                              count  elements      size   padding
                                                                            hud_waypoint_arrow_block         1        15       810       750
                                                                                hud_dashlights_block         1         9       252         0
                                                                            hud_waypoint_arrow_block         1         4       136         8
                                                                                  hud_waypoint_block         1         8       176        16
                                                                                 new_hud_sound_block         1         6       144         0
                                                                    player_training_entry_data_block         1        32       832        64
                                                                                         hud_globals         1         1       480       680
                                                                                             totals:         7        75      2830      1518

model_animation_graph                                                                                    count  elements      size   padding
                                                                          animation_graph_node_block        70      1772     56704         0
                                                                   aligned_animation_data_definition      2535      2535   8464560         0
                                                                                animation_pool_block        69      2630    247220      5260
                                                                           weapon_class_lookup_block         7        55       440         0
                                                                               model_animation_graph        70        70      7560      4480
                                                               animation_graph_sound_reference_block        33       334      3340       668
                                                              animation_graph_effect_reference_block         4         9        90        18
                                                                        animation_blend_screen_block        20        35       980         0
                                                                         animation_frame_event_block       203       436      1744         0
                                                                         animation_sound_event_block       258       458      3664         0
                                                                        object_space_node_data_block        28        31       868         0
                                                                        animation_effect_event_block         6         6        24         0
                                                                                 damage_region_block        42       462      1848         0
                                                                              damage_direction_block        11        44       352         0
                                                                              damage_animation_block         3        11       132         0
                                                                                   weapon_type_block       474       743     38636         0
                                                                                  animation_ik_block        31        61       488         0
                                                                                  weapon_class_block       210       504     10080         0
                                                                               animation_entry_block       832      3722     29776         0
                                                                                animation_mode_block        64       224      4480         0
                                                                  inherited_animation_node_map_block         5       218       444         0
                                                             inherited_animation_node_map_flag_block         5        10        40         0
                                                                           inherited_animation_block         6         6       192         0
                                                              animation_transition_destination_block       150       246      4674       246
                                                                          animation_transition_block        56       150      2700       300
                                                                            vehicle_suspension_block         5        20       800         0
                                                                              object_animation_block         2         2        28        12
                                                                                             totals:      5199     14794   8881864     10984

damage_effect                                                                                            count  elements      size   padding
                                                                                          byte_block        62      2240      2240         0
                                                                 damage_effect_player_response_block        79       124      8928       496
                                                                                       damage_effect       103       103     19982       618
                                                                                             totals:       244      2467     31150      1114

lens_flare                                                                                               count  elements      size   padding
                                                                                          reflection        51        56      2464       224
                                                                                          byte_block        12       936       936         0
                                                                    lens_flare_color_animation_block         7         7        56         0
                                                                                          lens_flare        53        53      4982       318
                                                                   lens_flare_scalar_animation_block         8         8        64         0
                                                                                             totals:       131      1060      8502       542

light                                                                                                    count  elements      size   padding
                                                                                          byte_block         5       364       364         0
                                                                                brightness animation         6         6        48         0
                                                                                               light        63        63     13356      1008
                                                                                     color animation         1         1         8         0
                                                                                             totals:        75       434     13776      1008

sound_looping                                                                                            count  elements      size   padding
                                                                           looping_sound_track_block       162       178     15308       356
                                                                                       sound_looping       165       165      7260      1320
                                                                          looping_sound_detail_block         4         4       208         0
                                                                                             totals:       331       347     22776      1676

globals                                                                                                  count  elements      size   padding
                                                                       havok_cleanup_resources_block         1         1         8         0
                                                                              collision_damage_block         1         1        40        32
                                                                                 sound_globals_block         1         1        44         0
                                                                          ai_globals_gravemind_block         1         1        12         0
                                                                                    ai_globals_block         1         1       156       204
                                                                                armor_modifier_block        21       714      5712         0
                                                                                  damage_group_block         1        21       252         0
                                                                           game_globals_damage_block         1         1         8         0
                                                                             custom_references_block         1         8        64         0
                                                                                         sound_block         1         2        16         0
                                                                                        camera_block         1         1        20         0
                                                                                 look_function_block         1         6        24         0
                                                                                player_control_block         1         1        98        30
                                                                                    difficulty_block         1         1       432       212
                                                                                      grenades_block         1         2        52        36
                                                                       vertex_shader_reference_block         1        33       264         0
                                                                               rasterizer_data_block         1         1       210        54
                                                                            interface_tag_references         1         1       152         0
                                                                       multiplayer_information_block         1         1       112        40
                                                                            player_information_block         1         1       184       100
                                                                         player_representation_block         1         4       112       640
                                                                                falling_damage_block         1         1        60        44
                                                                                 old_materials_block         1        33      1188         0
                                                                                     materials_block         1       183     31476      1464
                                                                                multiplayer_ui_block         1         1        32         0
                                                                             multiplayer_color_block         1        18       216         0
                                                                        runtime_campaign_level_block         1        20      5280         0
                                                                     runtime_levels_definition_block         1         1         8         0
                                                                                             globals         1         1       220       424
                                                                                             totals:        49      1061     46452      3280

mouse_cursor_definition                                                                                  count  elements      size   padding
                                                                 mouse_cursor_bitmap_reference_block         1         4        32         0
                                                                             mouse_cursor_definition         1         1        12         0
                                                                                             totals:         2         5        44         0

render_model                                                                                             count  elements      size   padding
                                                                                    compression info       168       168      9408         0
