sound_effect_template                                                                                       tag     string    padding  tag splat     bitmap      sound   vertices   geometry     shared  duplicate      total
                                                     shaders\default_bitmaps\bitmaps\gray_50_percent        248          0          0         36          0          0          0          0         16          0        264
                                                      shaders\default_bitmaps\bitmaps\default_detail        248          0          0         36          0          0          0          0         23          0        271
                                                         shaders\default_bitmaps\bitmaps\color_white        248          0          0         36          0          0          0          0         32          0        280
                                                    shaders\default_bitmaps\bitmaps\default_additive        248          0          0         36          0          0          0          0         23          0        271
                                                                       rasterizer\linear_corner_fade        248          0          0         36          0          0          0          0        130          0        378
                              scenarios\objects\forerunner\industrial\index\index_full\bitmaps\index        248          0          0         36      73345          0          0          0          0          0      73593
                         scenarios\objects\forerunner\industrial\index\index_full\bitmaps\index_bump        248          0          0         36      43573          0          0          0          0          0      43821
                        scenarios\objects\forerunner\industrial\index\index_full\bitmaps\index_illum        248          0          0         36       3733          0          0          0          0          0       3981
                                              shaders\default_bitmaps\bitmaps\default_multiplicative        248          0          0         36          0          0          0          0         20          0        268
                                           shaders\default_bitmaps\bitmaps\default_additive_cube_map        248          0          0         36          0          0          0          0         25          0        273
                                    objects\weapons\melee\gravity_hammer\bitmaps\gravity_hammer_bump        248          0          0         36     164320          0          0          0          0          0     164568
                                             scenarios\bitmaps\detail_maps\metal\metal_curvedscratch        248          0          0         36      39664          0          0          0          0          0      39912
                                         objects\weapons\melee\gravity_hammer\bitmaps\gravity_hammer        248          0          0         36      80855          0          0          0          0          0      81103
                                                        scenarios\bitmaps\reflection_maps\metal_tone        248          0          0         36      14986          0          0          0          0          0      15234
                                   objects\weapons\melee\gravity_hammer\bitmaps\gravity_hammer_illum        248          0          0         36       2553          0          0          0          0          0       2801
                                                       objects\characters\gravemind\bitmaps\tentacle        248          0          0         36      21888          0          0          0          0          0      22136
                                                  objects\characters\gravemind\bitmaps\tentacle_bump        248          0          0         36      60651          0          0          0          0          0      60899
                                                      scenarios\bitmaps\nature\ground\dirt_rough_dif        248          0          0         36      37919          0          0          0          0          0      38167
                                     objects\characters\floodcarrier\bitmaps\floodcarrier_detail_map        248          0          0         36       8958          0          0          0          0          0       9206
                                                         shaders\default_bitmaps\bitmaps\alpha_black        248          0          0         36          0          0          0          0         16          0        264
                                             shaders\default_bitmaps\bitmaps\color_black_alpha_black        248          0          0         36          0          0          0          0         25          0        273
                                             objects\characters\masterchief\bitmaps\masterchief_bump        248          0          0         36          0          0          0          0     569404          0     569652
                                                  objects\characters\masterchief\bitmaps\masterchief        248          0          0         36          0          0          0          0     322972          0     323220
                                               objects\characters\masterchief\bitmaps\masterchief_cc        248          0          0         36          0          0          0          0      17616          0      17864
                                                   objects\bitmaps\reflection_maps\masterchief_armor        248          0          0         36          0          0          0          0      15869          0      16117
                                                             objects\bitmaps\detail_maps\metal_dirty        248          0          0         36          0          0          0          0      21304          0      21552
                                        objects\characters\masterchief\bitmaps\masterchief_bump_camo        248          0          0         36          0          0          0          0     136246          0     136494
                                                      objects\bitmaps\reflection_maps\mirror_surface        248          0          0         36          0          0          0          0      15141          0      15389
                                                                ui\global_bitmaps\emblems\foreground      10876         28         16        292          0          0          0          0    1248046          0    1258966
                                                        effects\bitmaps\distortion\distortion_ripple        248          0          0         36          0          0          0          0      21306          0      21554
                                                            shaders\default_bitmaps\bitmaps\clouds_a        248          0          0         36          0          0          0          0      38365          0      38613
                                                            shaders\default_bitmaps\bitmaps\clouds_b        248          0          0         36          0          0          0          0      37609          0      37857
                                                            effects\bitmaps\energy\light_ring_expand        318         28         22         40          0          0          0          0        576          0        944
                                                            effects\bitmaps\energy\hammer_blast_ring        248          0          0         36          0          0          0          0       7928          0       8176
                                                                effects\bitmaps\sparks\electric_arcs        528        112         88         52          0          0          0          0       3689          0       4417
                                                      objects\weapons\rifle\smg\bitmaps\smg_magazine        248          0          0         36          0          0          0          0       1870          0       2118
