sound_effect_template                                                                                    count  elements      size   padding
                                                            particle_system_emitter_definition_block      1302      1364    240064     10912
                                                                particle_system_definition_block_new       597      1636     91616         0
                                                                                  effect_event_block       573       819     45864         0
                                                                                              effect       596       596     26224      2384
                                                                          effect_accelerations_block        31        45       810        90
                                                                                             totals:      5659    143342    567202     15190

equipment                                                                                                count  elements      size   padding
                                                                            predicted_resource_block        12       104       832         0
                                                                                           equipment        12        12      3684       108
                                                                                             totals:        24       116      4516       108

material_effects                                                                                         count  elements      size   padding
                                                                      material_effect_material_block       244      2683     61709      2683
                                                                            material_effect_block_v2        80      1305     31320         0
                                                                                    material_effects        81        81       648         0
                                                                                             totals:       405      4069     93677      2683

garbage                                                                                                  count  elements      size   padding
                                                                            predicted_resource_block         1         5        40         0
                                                                                             garbage         1         1       291       177
                                                                                             totals:         2         6       331       177

chocolate_mountain                                                                                       count  elements      size   padding
                                                                                          byte_block         5       564       564         0
                                                                            lighting_variables_block         1         2       288         0
                                                                                  chocolate_mountain         1         1         8         0
                                                                                             totals:         7       567       860         0

model                                                                                                    count  elements      size   padding
                                                                             model_permutation_block        77       226      1356       452
                                                                                  model_region_block        73       217      3038       434
                                                                                    model_node_block       133       988     88920      1976
                                                                                               model       147       147     35574      1470
                                                                                            material        96       245      2940      1960
                                                                             model_object_data_block       106       106      1908       212
                                                                                         permutation       226       249      4233      3735
                                                                                              region        96       549      8784      2196
                                                                                             variant        41       128      4096      3072
                                                                         global_damage_section_block        37       129      6192      1032
                                                                           global_damage_nodes_block        24       576         0      9216
                                                                            global_damage_info_block        41        41      5904      4264
                                                                                  model_target_block        29       118      3304         0
                                                                           model_variant_state_block       114       410      9430       410
                                                                 instantaneous_damage_repsonse_block       107       281     22480         0
                                                                                              object        12        18       288         0
                                                                              damage_seat_info_block        18        58      1160         0
                                                                        damage_constraint_info_block         1         2        32         8
                                                                                             totals:      1378      4488    199639     30437

hud_globals                                                                                              count  elements      size   padding
                                                                            hud_waypoint_arrow_block         1        15       810       750
                                                                                hud_dashlights_block         1         9       252         0
                                                                            hud_waypoint_arrow_block         1         4       136         8
                                                                                  hud_waypoint_block         1         8       176        16
                                                                                 new_hud_sound_block         1         6       144         0
                                                                    player_training_entry_data_block         1        32       832        64
                                                                                         hud_globals         1         1       480       680
                                                                                             totals:         7        75      2830      1518

model_animation_graph                                                                                    count  elements      size   padding
                                                                          animation_graph_node_block        92      2391     76512         0
                                                                   aligned_animation_data_definition      4830      4830  18068984         0
                                                                                animation_pool_block        92      4982    468308      9964
                                                                           weapon_class_lookup_block        15       111       888         0
                                                                               model_animation_graph        94        94     10152      6016
                                                               animation_graph_sound_reference_block        44       472      4720       944
                                                              animation_graph_effect_reference_block         5        10       100        20
                                                                        animation_blend_screen_block        34        64      1792         0
                                                                         animation_frame_event_block       524      1239      4956         0
                                                                         animation_sound_event_block       696      1748     13984         0
                                                                        object_space_node_data_block        39        43      1204         0
                                                                        animation_effect_event_block         6         6        24         0
                                                                                 damage_region_block       168      1848      7392         0
                                                                              damage_direction_block        54       216      1728         0
                                                                              damage_animation_block        15        54       648         0
                                                                                   weapon_type_block       983      1516     78832         0
                                                                                  animation_ik_block        38        71       568         0
                                                                                  weapon_class_block       500      1143     22860         0
                                                                               animation_entry_block      1503      6546     52368         0
                                                                                animation_mode_block        84       524     10480         0
                                                                  inherited_animation_node_map_block         8       387       784         0
                                                             inherited_animation_node_map_flag_block         8        17        68         0
                                                                           inherited_animation_block         9         9       288         0
                                                              animation_transition_destination_block       382       688     13072       688
                                                                          animation_transition_block       129       382      6876       764
                                                                            vehicle_suspension_block         5        20       800         0
                                                                              object_animation_block         2         2        28        12
                                                                                             totals:     10359     29413  18848416     18408

damage_effect                                                                                            count  elements      size   padding
                                                                                          byte_block        63      2260      2260         0
                                                                 damage_effect_player_response_block        84       134      9648       536
                                                                                       damage_effect       120       120     23280       720
                                                                                             totals:       267      2514     35188      1256

lens_flare                                                                                               count  elements      size   padding
                                                                                          reflection        49        54      2376       216
                                                                                          lens_flare        51        51      4794       306
                                                                                          byte_block        11       868       868         0
                                                                    lens_flare_color_animation_block         6         6        48         0
                                                                   lens_flare_scalar_animation_block         7         7        56         0
                                                                                             totals:       124       986      8142       522

light                                                                                                    count  elements      size   padding
                                                                                               light        61        61     12932       976
                                                                                          byte_block         4       312       312         0
                                                                                brightness animation         4         4        32         0
                                                                                     color animation         1         1         8         0
                                                                                             totals:        70       378     13284       976

sound_looping                                                                                            count  elements      size   padding
                                                                           looping_sound_track_block       178       199     17114       398
                                                                                       sound_looping       178       178      7832      1424
                                                                          looping_sound_detail_block         5         7       364         0
                                                                                             totals:       361       384     25310      1822

device_machine                                                                                           count  elements      size   padding
                                                                               object_function_block         1         1        32         0
                                                                            predicted_resource_block         3        44       352         0
                                                                                      device_machine         3         3       885        39
                                                                                             totals:         7        48      1269        39

globals                                                                                                  count  elements      size   padding
                                                                       havok_cleanup_resources_block         1         1         8         0
                                                                              collision_damage_block         1         1        40        32
                                                                                 sound_globals_block         1         1        44         0
                                                                          ai_globals_gravemind_block         1         1        12         0
                                                                                    ai_globals_block         1         1       156       204
                                                                                armor_modifier_block        21       714      5712         0
                                                                                  damage_group_block         1        21       252         0
                                                                           game_globals_damage_block         1         1         8         0
                                                                             custom_references_block         1         8        64         0
                                                                                         sound_block         1         2        16         0
                                                                                        camera_block         1         1        20         0
                                                                                 look_function_block         1         6        24         0
                                                                                player_control_block         1         1        98        30
                                                                                    difficulty_block         1         1       432       212
                                                                                      grenades_block         1         2        52        36
                                                                       vertex_shader_reference_block         1        33       264         0
                                                                               rasterizer_data_block         1         1       210        54
                                                                            interface_tag_references         1         1       152         0
                                                                       multiplayer_information_block         1         1       112        40
                                                                            player_information_block         1         1       184       100
                                                                         player_representation_block         1         4       112       640
                                                                                falling_damage_block         1         1        60        44
                                                                                 old_materials_block         1        33      1188         0
                                                                                     materials_block         1       183     31476      1464
                                                                                multiplayer_ui_block         1         1        32         0
                                                                             multiplayer_color_block         1        18       216         0
                                                                        runtime_campaign_level_block         1        20      5280         0
                                                                     runtime_levels_definition_block         1         1         8         0
                                                                                             globals         1         1       220       424
                                                                                             totals:        49      1061     46452      3280

mouse_cursor_definition                                                                                  count  elements      size   padding
                                                                 mouse_cursor_bitmap_reference_block         1         4        32         0
                                                                             mouse_cursor_definition         1         1        12         0
                                                                                             totals:         2         5        44         0

render_model                                                                                             count  elements      size   padding
                                                                                    compression info       169       169      9464         0
                                                                                         permutation       314       601      9616         0
                                                                                              region       169       314      5024         0
                                                                                     block resources      1503     11781    153153     35343
                                                                          render_model_section_block       169      1503    120240     18036
                                                                                       section group       169       171      1710       342
                                                                                                node       169      1341    128736         0
                                                                                            material       169       631     15775      4417
                                                                                        render_model       169       169     20956      1352
                                                                                              marker      1105      1401     49035      1401
                                                                                        marker group       129      1105     13260         0
                                                                                           bitvector        80      1724      6896         0
                                                                                       compound node         2         8       128         0
                                                                                             totals:      4316     20918    533993     60891

multiplayer_globals                                                                                      count  elements      size   padding
                                                                             multiplayer_color_block         1         9       108         0
                                                                         multiplayer_universal_block         1         1        32         0
                                                                                       weapons_block         1        20       160         0
                                                                                      vehicles_block         1        14       112         0
                                                                                       grenade_block         1         2        16         0
                                                                                       powerup_block         1         2        16         0
                                                                                        sounds_block         1        43       344         0
                                                                     game_engine_general_event_block         1        80      8960      4480
                                                                      game_engine_flavor_event_block         1        14      1568       784
                                                                      game_engine_slayer_event_block         1         2       224       112
                                                                         game_engine_ctf_event_block         1        22      2464      1232
                                                                     game_engine_oddball_event_block         1         3       336       168
                                                                        game_engine_king_event_block         1         8       896       448
                                                                  game_engine_juggernaut_event_block         1         3       336       168
                                                                 game_engine_territories_event_block         1        11      1232       616
                                                                     game_engine_assault_event_block         1        25      2800      1400
                                                                         multiplayer_constants_block         1         1        88       264
                                                                   game_engine_status_response_block         1        23       460       184
                                                                           multiplayer_runtime_block         1         1       516       868
                                                                                 multiplayer_globals         1         1        16         0
                                                                                             totals:        20       285     20684     10724

new_hud_definition                                                                                       count  elements      size   padding
                                                                                  hud_bitmap_widgets        31       237     22752       948
                                                                                    hud_text_widgets        16        47      3760       188
                                                                                  new_hud_definition        31        31      1240         0
                                                                                          byte_block        16       520       520         0
                                                                             hud_widget_effect_block        15        15      1530        30
                                                                           hud_screen_effect_widgets         1         1        78         2
                                                                                             totals:       110       851     29880      1168

physics_model                                                                                            count  elements      size   padding
                                                                                  rigid_bodies_block        95       196     28616      2744
                                                                                     materials_block        96       104      1248         0
                                                                                     polyhedra_block        79       160     45440       640
                                                                       polyhedron_four_vectors_block        21       215     10320         0
                                                                    polyhedron_plane_equations_block        79      2285     36560         0
                                                                                         lists_block        14        21      1848       336
                                                                            rigid_body_indices_block       118       196       608         0
                                                                                  permutations_block       111       125      1500         0
                                                                                       regions_block        96       111      1332         0
                                                                                         nodes_block        75       434      5208         0
                                                                                       physics_model        96        96     23808      2304
                                                      physics_model_constraint_edge_constraint_block        74        74       888         0
                                                            physics_model_node_constraint_edge_block        14        81      1620       324
                                                                                         pills_block        10        78      7488         0
                                                                                         boxes_block        12        13      2288         0
                                                                           ragdoll_constraints_block         8        40      5680       240
                                                                     limited_hinge_constraints_block        10        34      4284       204
                                                                                       spheres_block         5         6       960         0
                                                                                 phantom_types_block         1         3       174       138
                                                                                      phantoms_block         1         7       448         0
