block	count	size	element size	actual element size
sound_permutation_chunk_block	190662	3050592	16	16.000000
sound_gestalt_reflections_block	304	4864	24	16.000000
sound_dialogue_constants	1	40	40	40.000000
sound_mix	1	88	88	88.000000
camera_track_control_point_block	223	6244	28	28.000000
camera_track	17	204	16	12.000000
point_physics	6	384	64	64.000000
structure_bsp_cluster_block	1	176	216	176.000000
structure_collision_materials_block	1	20	36	20.000000
structure_bsp_detail_object_data_block	1	36	52	36.000000
structure_bsp_leaf_block	1	8	8	8.000000
structure_bsp_surface_reference_block	12	96	8	8.000000
structure_bsp_debug_info_block	1	88	100	88.000000
structure_bsp_cluster_debug_info_block	1	72	92	72.000000
structure_bsp_sky_owner_cluster_block	32	64	2	2.000000
scenario_structure_bsp	1	572	792	572.000000
scenario_object_names_block	1	36	36	36.000000
scenario_players_block	1	52	52	52.000000
scenario_structure_bsp_reference_block	1	68	84	68.000000
syntax_datum_block	512	10240	20	20.000000
scenario_cluster_background_sounds_block	1	4	4	4.000000
scenario_cluster_points_block	1	12	12	12.000000
scenario_cluster_data_block	1	52	80	52.000000
scenario_spawn_data_block	1	96	108	96.000000
scenario_structure_bsp_spherical_harmonic_lighting_block	1	16	28	16.000000
scenario_level_data_block	1	24	40	24.000000
simulation definition table element	467	1868	4	4.000000
scenario	1	992	1476	992.000000
decal	57	9804	188	172.000000
mouse_cursor_bitmap_reference_block	4	32	16	8.000000
mouse_cursor_definition	1	12	16	12.000000
material_effect_material_block	2683	64392	40	24.000000
material_effect_block_v2	1305	31320	36	24.000000
material_effects	81	648	12	8.000000
breakable_surface	2	64	52	32.000000
materials_block	183	32940	316	180.000000
sound_class_ducker_block_definition	19	380	20	20.000000
sound_class_block	108	12960	128	120.000000
sound_classes	2	16	12	8.000000
multiplayer_color_block	9	108	12	12.000000
multiplayer_universal_block	1	32	60	32.000000
vehicles_block	14	112	16	8.000000
weapons_block	20	160	16	8.000000
grenade_block	2	16	16	8.000000
powerup_block	2	16	16	8.000000
multiplayer_constants_block	1	352	384	352.000000
game_engine_status_response_block	23	644	36	28.000000
sounds_block	43	344	16	8.000000
multiplayer_runtime_block	1	1384	1640	1384.000000
multiplayer_globals	1	16	24	16.000000
sound_effect_template	5	140	40	28.000000
sound_effect_component_block	9	144	24	16.000000
platform_sound_filter_block	6	432	72	72.000000
platform_sound_pitch_lfo_block	2	96	48	48.000000
platform_sound_filter_lfo_block	1	64	64	64.000000
sound_effect_playback_block	14	560	72	40.000000
platform_sound_playback_block	19	1064	76	56.000000
sound_effect_collection	1	8	12	8.000000
